,b7,b12,b8,b19,b20,b11,b31,b39,b41,b45,b46,b40,b49,b27,b50,b55,b56,b59,b51,b63,b47,b64,b61,b67,b98,b103,b113,b112,b119,b97,b118,b136,b141,b89,b143,b149,b148,b146,b155,b156,b165,b154,b169,b130,b166,b172,b170,b192,b193,b199,b207,b205,b198,b206,b204
eBike,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlwaysOn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirCon_profile,1,2,0,0,23,3,0,0,4,0,5,6,0,0,7,0,0,0,0,8,9,0,0,0,0,10,11,12,13,14,0,0,15,0,16,17,18,19,0,29,0,20,21,22,23,0,0,0,24,25,0,0,0,0,26
Dishwasher_profile,1,2,5,0,15,1,3,4,0,5,6,0,7,8,9,10,11,0,12,13,0,14,15,16,17,0,18,19,0,20,21,1,0,0,2,3,0,4,5,6,17,21,12,16,0,5,8,9,0,19,12,13,14,10,11
Dryer_profile,0,2,0,0,2,0,0,0,1,2,0,3,0,2,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,2,2,0,1,0,3,0,1,0,2,0,3
Fridge_profile,2,3,1,3,3,4,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,0,1,2,3,4,5,6,7,8,9,10
HairDryer_profile,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,8,0,9,0,10,0,0,0,0,0,0,0
Iron_profile,0,5,2,3,5,0,0,1,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,7,0,0,1,2,3,4,5,6,7,0,0,0,0,1,2,3,0,0,0,4,0,0,0,5,6,7,0,0,1
LED_profile,0,3,3,1,3,0,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0
Lighting_profile,3,3,3,1,3,0,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0
PC_profile,35,5,35,2,35,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,0,1,2,3,4,5
Range_profile,0,12,1,3,12,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,0,1,2,3,4,5,6,7,8,9,1,10,11,12,13,14,15,16,17,18,19,20,21,0,1,2,3,4
Toaster_profile,22,2,0,4,22,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TV_profile,4,2,1,23,40,3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,0,1,2,3
WashingMachine_profile,8,2,1,0,8,7,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0
WaterHeater_profile,0,0,1,2,3,0,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,0,1,2,3,4,5,6,7,2
HeatPump_profile,0,2,0,1,2,0,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0
BEV_profile,0,2,1,0,2,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,0,1,2,3,4,5,6,7,8,9,10,11,12
eBike_profile,0,1,0,2,0,3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,0,1,2,3,4,5,6,7,8,9,10,11,12
AlwaysOn_profile,1,0,2,1,0,0,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
SoC_init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_max_bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoC_min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoC_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV_rated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch_eff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dch_eff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t_lpf_bat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p_cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
